name,date,hour,count
vernon-sb,2020-12-15,3,0
vernon-nb,2020-12-15,4,0
vernon-sb,2020-12-15,4,1
vernon-sb,2020-12-15,5,0
vernon-nb,2020-12-15,5,1
vernon-nb,2020-12-15,6,0
vernon-sb,2020-12-15,6,5
vernon-nb,2020-12-15,7,2
vernon-sb,2020-12-15,7,5
vernon-nb,2020-12-15,8,0
vernon-sb,2020-12-15,8,12
vernon-nb,2020-12-15,9,1
vernon-sb,2020-12-15,9,3
vernon-nb,2020-12-16,0,0
vernon-sb,2020-12-16,0,0
vernon-nb,2020-12-16,1,0
vernon-sb,2020-12-16,1,0
vernon-sb,2020-12-16,10,0
vernon-nb,2020-12-16,10,1
vernon-sb,2020-12-16,11,2
vernon-nb,2020-12-16,11,5
vernon-nb,2020-12-16,12,4
vernon-sb,2020-12-16,12,4
vernon-nb,2020-12-16,13,1
vernon-sb,2020-12-16,13,2
vernon-sb,2020-12-16,14,3
vernon-nb,2020-12-16,14,8
vernon-sb,2020-12-16,15,2
vernon-nb,2020-12-16,15,5
vernon-sb,2020-12-16,16,4
vernon-nb,2020-12-16,16,7
vernon-sb,2020-12-16,17,0
vernon-nb,2020-12-16,17,6
vernon-sb,2020-12-16,18,1
vernon-nb,2020-12-16,18,4
vernon-sb,2020-12-16,19,1
vernon-nb,2020-12-16,19,4
vernon-nb,2020-12-16,2,0
vernon-sb,2020-12-16,2,0
vernon-nb,2020-12-16,20,1
vernon-sb,2020-12-16,20,5
vernon-sb,2020-12-16,21,0
vernon-nb,2020-12-16,21,2
vernon-nb,2020-12-16,22,0
vernon-sb,2020-12-16,22,1
vernon-sb,2020-12-16,23,0
vernon-nb,2020-12-16,23,1
vernon-nb,2020-12-16,3,0
vernon-sb,2020-12-16,3,0
vernon-nb,2020-12-16,4,0
vernon-sb,2020-12-16,4,0
vernon-nb,2020-12-16,5,0
vernon-sb,2020-12-16,5,0
vernon-nb,2020-12-16,6,0
vernon-sb,2020-12-16,6,2
vernon-nb,2020-12-16,7,1
vernon-sb,2020-12-16,7,4
vernon-nb,2020-12-16,8,1
vernon-sb,2020-12-16,8,4
vernon-nb,2020-12-16,9,1
vernon-sb,2020-12-16,9,3
vernon-nb,2020-12-17,0,0
vernon-sb,2020-12-17,0,0
vernon-nb,2020-12-17,1,0
vernon-sb,2020-12-17,1,0
vernon-nb,2020-12-17,10,0
vernon-sb,2020-12-17,10,3
vernon-sb,2020-12-17,11,2
vernon-nb,2020-12-17,11,4
vernon-sb,2020-12-17,12,0
vernon-nb,2020-12-17,12,2
vernon-sb,2020-12-17,13,0
vernon-nb,2020-12-17,13,3
vernon-sb,2020-12-17,14,0
vernon-nb,2020-12-17,14,2
vernon-sb,2020-12-17,15,0
vernon-nb,2020-12-17,15,5
vernon-sb,2020-12-17,16,0
vernon-nb,2020-12-17,16,3
vernon-sb,2020-12-17,17,0
vernon-nb,2020-12-17,17,1
vernon-nb,2020-12-17,18,0
vernon-sb,2020-12-17,18,0
vernon-sb,2020-12-17,19,0
vernon-nb,2020-12-17,19,1
vernon-nb,2020-12-17,2,0
vernon-sb,2020-12-17,2,0
vernon-sb,2020-12-17,20,1
vernon-nb,2020-12-17,20,2
vernon-sb,2020-12-17,21,0
vernon-nb,2020-12-17,21,1
vernon-nb,2020-12-17,22,0
vernon-sb,2020-12-17,22,0
vernon-nb,2020-12-17,23,0
vernon-sb,2020-12-17,23,0
vernon-nb,2020-12-17,3,0
vernon-sb,2020-12-17,3,0
vernon-nb,2020-12-17,4,0
vernon-sb,2020-12-17,4,0
vernon-nb,2020-12-17,5,0
vernon-sb,2020-12-17,5,1
vernon-nb,2020-12-17,6,0
vernon-sb,2020-12-17,6,1
vernon-nb,2020-12-17,7,1
vernon-sb,2020-12-17,7,3
vernon-nb,2020-12-17,8,0
vernon-sb,2020-12-17,8,3
vernon-nb,2020-12-17,9,1
vernon-sb,2020-12-17,9,2
vernon-sb,2020-12-18,0,0
vernon-nb,2020-12-18,0,1
vernon-nb,2020-12-18,1,0
vernon-sb,2020-12-18,1,0
vernon-nb,2020-12-18,10,0
vernon-sb,2020-12-18,10,3
vernon-sb,2020-12-18,11,1
vernon-nb,2020-12-18,11,2
vernon-nb,2020-12-18,12,0
vernon-sb,2020-12-18,12,1
vernon-nb,2020-12-18,13,1
vernon-sb,2020-12-18,13,1
vernon-nb,2020-12-18,14,2
vernon-sb,2020-12-18,14,2
vernon-nb,2020-12-18,15,1
vernon-sb,2020-12-18,15,2
vernon-nb,2020-12-18,16,1
vernon-sb,2020-12-18,16,1
vernon-sb,2020-12-18,17,1
vernon-nb,2020-12-18,17,3
vernon-nb,2020-12-18,18,0
vernon-sb,2020-12-18,18,0
vernon-nb,2020-12-18,19,0
vernon-sb,2020-12-18,19,0
vernon-nb,2020-12-18,2,0
vernon-sb,2020-12-18,2,1
vernon-nb,2020-12-18,20,0
vernon-sb,2020-12-18,20,0
vernon-nb,2020-12-18,21,1
vernon-sb,2020-12-18,21,1
vernon-nb,2020-12-18,22,0
vernon-sb,2020-12-18,22,0
vernon-nb,2020-12-18,23,1
vernon-sb,2020-12-18,23,1
vernon-nb,2020-12-18,3,0
vernon-sb,2020-12-18,3,0
vernon-nb,2020-12-18,4,0
vernon-sb,2020-12-18,4,0
vernon-nb,2020-12-18,5,0
vernon-sb,2020-12-18,5,0
vernon-nb,2020-12-18,6,0
vernon-sb,2020-12-18,6,1
vernon-nb,2020-12-18,7,0
vernon-sb,2020-12-18,7,0
vernon-nb,2020-12-18,8,1
vernon-sb,2020-12-18,8,1
vernon-nb,2020-12-18,9,0
vernon-sb,2020-12-18,9,0
vernon-sb,2020-12-19,0,0
vernon-nb,2020-12-19,0,1
vernon-nb,2020-12-19,1,0
vernon-sb,2020-12-19,1,0
vernon-sb,2020-12-19,10,0
vernon-nb,2020-12-19,10,1
vernon-sb,2020-12-19,11,2
vernon-nb,2020-12-19,11,3
vernon-sb,2020-12-19,12,3
vernon-nb,2020-12-19,12,7
vernon-nb,2020-12-19,13,1
vernon-sb,2020-12-19,13,1
vernon-sb,2020-12-19,14,0
vernon-nb,2020-12-19,14,1
