name,date,hour,count
windsor-sb,2020-12-14,3,0
windsor-sb,2020-12-14,4,0
windsor-nb,2020-12-14,4,1
windsor-nb,2020-12-14,5,0
windsor-sb,2020-12-14,5,2
windsor-nb,2020-12-14,6,1
windsor-sb,2020-12-14,6,1
windsor-nb,2020-12-14,7,0
windsor-sb,2020-12-14,7,3
windsor-nb,2020-12-14,8,1
windsor-sb,2020-12-14,8,3
windsor-nb,2020-12-14,9,3
windsor-sb,2020-12-14,9,4
windsor-nb,2020-12-15,0,0
windsor-sb,2020-12-15,0,0
windsor-nb,2020-12-15,1,0
windsor-sb,2020-12-15,1,0
windsor-nb,2020-12-15,10,1
windsor-sb,2020-12-15,10,1
windsor-nb,2020-12-15,11,1
windsor-sb,2020-12-15,11,1
windsor-sb,2020-12-15,12,1
windsor-nb,2020-12-15,12,2
windsor-nb,2020-12-15,13,2
windsor-sb,2020-12-15,13,2
windsor-nb,2020-12-15,14,0
windsor-sb,2020-12-15,14,1
windsor-sb,2020-12-15,15,0
windsor-nb,2020-12-15,15,2
windsor-sb,2020-12-15,16,0
windsor-nb,2020-12-15,16,1
windsor-sb,2020-12-15,17,1
windsor-nb,2020-12-15,17,3
windsor-nb,2020-12-15,18,0
windsor-sb,2020-12-15,18,1
windsor-nb,2020-12-15,19,0
windsor-sb,2020-12-15,19,0
windsor-nb,2020-12-15,2,0
windsor-sb,2020-12-15,2,0
windsor-nb,2020-12-15,20,0
windsor-sb,2020-12-15,20,0
windsor-nb,2020-12-15,21,0
windsor-sb,2020-12-15,21,0
windsor-nb,2020-12-15,22,0
windsor-sb,2020-12-15,22,0
windsor-nb,2020-12-15,23,0
windsor-sb,2020-12-15,23,0
windsor-nb,2020-12-15,3,0
windsor-sb,2020-12-15,3,0
windsor-sb,2020-12-15,4,0
windsor-nb,2020-12-15,4,1
windsor-nb,2020-12-15,5,0
windsor-sb,2020-12-15,5,0
windsor-nb,2020-12-15,6,0
windsor-sb,2020-12-15,6,0
windsor-nb,2020-12-15,7,2
windsor-sb,2020-12-15,7,3
windsor-nb,2020-12-15,8,0
windsor-sb,2020-12-15,8,4
windsor-nb,2020-12-15,9,0
windsor-sb,2020-12-15,9,1
windsor-nb,2020-12-16,0,0
windsor-sb,2020-12-16,0,1
windsor-nb,2020-12-16,1,0
windsor-sb,2020-12-16,1,0
windsor-nb,2020-12-16,10,1
windsor-sb,2020-12-16,10,2
windsor-nb,2020-12-16,11,0
windsor-sb,2020-12-16,11,1
windsor-nb,2020-12-16,12,0
windsor-sb,2020-12-16,12,1
windsor-nb,2020-12-16,13,1
windsor-sb,2020-12-16,13,1
windsor-nb,2020-12-16,14,0
windsor-sb,2020-12-16,14,1
windsor-sb,2020-12-16,15,2
windsor-nb,2020-12-16,15,3
windsor-sb,2020-12-16,16,1
windsor-nb,2020-12-16,16,3
windsor-sb,2020-12-16,17,1
windsor-nb,2020-12-16,17,2
windsor-nb,2020-12-16,18,1
windsor-sb,2020-12-16,18,1
windsor-nb,2020-12-16,19,2
windsor-sb,2020-12-16,19,2
windsor-nb,2020-12-16,2,0
windsor-sb,2020-12-16,2,0
windsor-nb,2020-12-16,20,0
windsor-sb,2020-12-16,20,0
windsor-sb,2020-12-16,21,1
windsor-nb,2020-12-16,21,2
windsor-sb,2020-12-16,22,0
windsor-nb,2020-12-16,22,2
windsor-nb,2020-12-16,23,0
windsor-sb,2020-12-16,23,0
windsor-nb,2020-12-16,3,0
windsor-sb,2020-12-16,3,0
windsor-nb,2020-12-16,4,0
windsor-sb,2020-12-16,4,0
windsor-nb,2020-12-16,5,0
windsor-sb,2020-12-16,5,0
windsor-nb,2020-12-16,6,0
windsor-sb,2020-12-16,6,1
windsor-nb,2020-12-16,7,1
windsor-sb,2020-12-16,7,1
windsor-nb,2020-12-16,8,1
windsor-sb,2020-12-16,8,1
windsor-nb,2020-12-16,9,0
windsor-sb,2020-12-16,9,3
windsor-nb,2020-12-17,0,1
windsor-sb,2020-12-17,0,1
windsor-sb,2020-12-17,1,0
windsor-nb,2020-12-17,1,1
windsor-sb,2020-12-17,10,1
windsor-nb,2020-12-17,10,2
windsor-sb,2020-12-17,11,2
windsor-nb,2020-12-17,11,3
windsor-nb,2020-12-17,12,1
windsor-sb,2020-12-17,12,2
windsor-nb,2020-12-17,13,1
windsor-sb,2020-12-17,13,1
windsor-nb,2020-12-17,14,2
windsor-sb,2020-12-17,14,2
windsor-sb,2020-12-17,15,1
windsor-nb,2020-12-17,15,2
windsor-sb,2020-12-17,16,0
windsor-nb,2020-12-17,16,3
windsor-nb,2020-12-17,17,1
windsor-sb,2020-12-17,17,1
windsor-nb,2020-12-17,18,0
windsor-sb,2020-12-17,18,0
windsor-sb,2020-12-17,19,0
windsor-nb,2020-12-17,19,1
windsor-nb,2020-12-17,2,0
windsor-sb,2020-12-17,2,0
windsor-nb,2020-12-17,20,0
windsor-sb,2020-12-17,20,0
windsor-nb,2020-12-17,21,0
windsor-sb,2020-12-17,21,0
windsor-nb,2020-12-17,22,0
windsor-sb,2020-12-17,22,0
windsor-nb,2020-12-17,23,0
windsor-sb,2020-12-17,23,0
windsor-nb,2020-12-17,3,0
windsor-sb,2020-12-17,3,0
windsor-nb,2020-12-17,4,0
windsor-sb,2020-12-17,4,0
windsor-nb,2020-12-17,5,0
windsor-sb,2020-12-17,5,0
windsor-nb,2020-12-17,6,0
windsor-sb,2020-12-17,6,0
windsor-nb,2020-12-17,7,1
windsor-sb,2020-12-17,7,1
windsor-nb,2020-12-17,8,2
windsor-sb,2020-12-17,8,3
windsor-nb,2020-12-17,9,0
windsor-sb,2020-12-17,9,2
windsor-nb,2020-12-18,0,0
windsor-sb,2020-12-18,0,0
windsor-nb,2020-12-18,1,0
windsor-sb,2020-12-18,1,0
windsor-nb,2020-12-18,10,0
windsor-sb,2020-12-18,10,0
windsor-sb,2020-12-18,11,0
windsor-nb,2020-12-18,11,1
windsor-nb,2020-12-18,12,0
windsor-sb,2020-12-18,12,0
windsor-nb,2020-12-18,13,0
windsor-sb,2020-12-18,13,0
windsor-sb,2020-12-18,14,0
windsor-nb,2020-12-18,14,3
windsor-sb,2020-12-18,15,1
windsor-nb,2020-12-18,15,2
windsor-nb,2020-12-18,16,0
windsor-sb,2020-12-18,16,0
windsor-nb,2020-12-18,17,0
windsor-sb,2020-12-18,17,0
windsor-nb,2020-12-18,18,0
windsor-sb,2020-12-18,18,0
windsor-nb,2020-12-18,19,0
windsor-sb,2020-12-18,19,0
windsor-nb,2020-12-18,2,0
windsor-sb,2020-12-18,2,0
windsor-nb,2020-12-18,20,0
windsor-sb,2020-12-18,20,0
windsor-nb,2020-12-18,21,0
windsor-sb,2020-12-18,21,0
windsor-nb,2020-12-18,22,0
windsor-sb,2020-12-18,22,0
windsor-nb,2020-12-18,23,0
windsor-sb,2020-12-18,23,0
windsor-nb,2020-12-18,3,0
windsor-sb,2020-12-18,3,0
windsor-nb,2020-12-18,4,0
windsor-sb,2020-12-18,4,0
windsor-nb,2020-12-18,5,0
windsor-sb,2020-12-18,5,0
windsor-nb,2020-12-18,6,0
windsor-sb,2020-12-18,6,0
windsor-sb,2020-12-18,7,0
windsor-nb,2020-12-18,7,1
windsor-nb,2020-12-18,8,0
windsor-sb,2020-12-18,8,0
windsor-nb,2020-12-18,9,1
